"Name","dis.isl.MT","dist.isl.MF","dist.group","mean.height","size","no.ramet","no.group","dist.land","no.hab","trees","dens.ramet","dens.group","mt.presence","mf.presence"
"Generalsgrundet2",231,231,230.7885164,43,.09,60,1,115,2,0,666.6666666666667,11.11111111111111,0,1
"Spikarna2",1106,1500,75.73528355,18.67,.82,48,1,2260,2,0,58.53658536585366,1.2195121951219512,0,0
"VI2",155,305,66.75,40,1.84,24,3,1018,2,1,13.043478260869565,1.6304347826086956,0,0
"Stensundsklobben1",275,105,5.29,43.42,1.09,94,4,163,4,1,86.23853211009174,3.6697247706422016,0,1
"Stensundsklobben2",310,105,104.6075037,22.5,.15,4,1,87,1,0,26.666666666666668,6.666666666666667,0,1
"Pargrunden2",432,282,281.5835423,20,.12,32,1,179,1,0,266.6666666666667,8.333333333333334,0,0
"KV",747,747,9,32.2,1.45,12,2,143,1,1,8.275862068965518,1.3793103448275863,0,0
"AL4",329,163,29,43,.4,141,2,471,1,0,352.5,5,0,0
"SMF",382,459,10,37,.33,103,2,950,2,1,312.1212121212121,6.0606060606060606,0,1
"Allören (AÖ)",276,276,275.5090471,17.2,1.49,48,1,1185,1,1,32.214765100671144,.6711409395973155,0,0
"Lillhamnen",297,261,39,28.15,2.41,150,4,1240,4,1,62.24066390041494,1.6597510373443982,1,1
"J2",566,566,15,46.29,.84,29,2,139,1,1,34.523809523809526,2.380952380952381,0,0
"VI4",150,165,150.2452857,23.69,.11,80,1,1040,3,0,727.2727272727273,9.090909090909092,0,1
"Mellanskär",316,352,315.8457948,67.58,8.68,152,1,2115,1,1,17.51152073732719,.1152073732718894,0,1
"Kummelgrundet bei St.",248,248,5.75,33.75,1.64,520,5,1853,4,1,317.07317073170736,3.048780487804878,0,1
"N1",300,380,13.23,39.31,.28,564,5,660,5,1,2014.285714285714,17.857142857142854,0,1
"Spikarna1",1114,1480,9.85,30.08,.88,1384,6,2280,3,0,1572.7272727272727,6.818181818181818,0,0
"Kyrkgrunden1",632,117,41.67,40.11,.4,434,3,366,4,1,1085,7.5,1,0
"Joskär (J)",332,332,57,41.67,9.86,105,10,350,4,1,10.649087221095336,1.0141987829614605,0,0
"Skallotholmen",247,276,25.64,24.34,4.97,307,6,1205,3,1,61.77062374245473,1.2072434607645877,0,0
"VI3",457,439,5.45,33,.5,137,6,1059,2,1,274,12,1,0
"Porsgrundet (P)",299,299,46,41.35,.79,90,2,178,1,1,113.92405063291139,2.531645569620253,0,0
"AB",91,91,91.20281473,25.77,.2,151,1,946,3,0,755,5,0,1
"Lasarettet",277,277,10.15,38.67,.69,1041,9,1553,5,1,1508.6956521739132,13.043478260869566,1,0
